law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority
Eggers & Zimmerman Law & Mediation,http://ezlm.com/contact-us/,https://www.google.com/maps/place/?q=place_id:ChIJreQF5IrFvIcRYYdXyW9YWTs,,Salina,KS,Saline,(785) 309-0390,ann@ezlm.com,Social Security Disability,316 N Santa Fe Ave,67401,Salina,1
Ellen Mitchell,,,,Salina,KS,Saline,785-819-2424,,General,213 Greystone Dr,67401,Salina,4
"Hampton & Royce, L.C.",https://www.hamptonlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJ4frXYV_PvIcRQTu2dPkLDzo,,Salina,KS,Saline,(785) 827-7251,info@hamptonlaw.com,General,119 West Iron Avenue,67401,Salina,4
Jack Sheahon,,https://www.google.com/maps/place/?q=place_id:ChIJqYoh5vXFvIcRz2Dr6-JpmG8,,Salina,KS,Saline,(785) 827-3629,bprotzman@rockingmmedia.com,General,148 S 7th St,67401,Salina,4
Jerome P. Hellmer LLC,,,,Salina,KS,Saline,785-643-0419,,General,4880 N Dorman Dr,67401,Salina,4
Kennedy Berkley,https://www.kenberk.com/,https://www.google.com/maps/place/?q=place_id:ChIJ50BflfXFvIcRRqvuYT-YCIk,https://www.martindale.com/by-location/kansas-lawyers/,Salina,KS,Saline,(785) 825-4674,,Personal Injury,119 W Iron Ave 7th floor,67401,Salina,5
"Law Office Of B. Truman Steen, LLC",,,,Salina,KS,Saline,785-914-5570,brad@steenlawoffice.com,Criminal Defense,1201 W Walnut,67401,Salina,5
Law Office of Bobby Hiebert Jr,,https://www.google.com/maps/place/?q=place_id:ChIJayky0_XFvIcRjdDZMkHLRD8,,Salina,KS,Saline,(785) 826-2513,,General,227 N Santa Fe Ave 3rd floor suite 304,67401,Salina,4
Law Office of Gary Denning,http://www.salinakansaslawyer.com/,https://www.google.com/maps/place/?q=place_id:ChIJL4pSGrLFvIcRj_B0rxbbjFk,,Salina,KS,Saline,(785) 833-5450,anolan@foulston.com,General,200 S Santa Fe Ave #6,67401,Salina,4
Law Office of Nathanael Berg LLC,,,,Salina,KS,Saline,785-833-6774,,General,410 N 5th St,67401,Salina,4
"Marietta, Kellogg & Price",http://mariettakelloggprice.com/,https://www.google.com/maps/place/?q=place_id:ChIJCdlgCPbFvIcRTp_8zd1Gcvs,,Salina,KS,Saline,(785) 825-5403,mkplaw@mariettakelloggprice.com,Personal Injury,148 S 7th St,67401,Salina,5
McKenna Law Office PA,https://www.mckennalawpa.com/?utm_source=google-local&utm_medium=organic&utm_campaign=2146,https://www.google.com/maps/place/?q=place_id:ChIJKT3g6PXFvIcROkAr8h9bzEU,,Salina,KS,Saline,(785) 823-1430,jmckenna@mckennalaw.org,General,114 S 7th St,67401,Salina,4
"Michael A. Montoya, PA",https://mikemontoyapa.com,,,Salina,KS,Saline,(785) 342-1280,contact@mikemontoyapa.com,Personal Injury,2F1dJkyJU7IC4UyuLOXtwndgy1B9zrki9J9MHNWsLtDPgCNk9qE0m4Dn9fX50StoqC.jpeg&w=1920&q=90) Family,,Salina,5
Michael P. Alley,,,,Salina,KS,Saline,785-822-4525,,General,2118 Raymond Ave,67401,Salina,4
"Morrical Legal Services, P.A.",http://morricallegal.com/,https://www.google.com/maps/place/?q=place_id:ChIJ50BflfXFvIcRGJ8lfvUvItQ,,Salina,KS,Saline,(785) 268-2345,,Family Law,200 S Santa Fe Ave Ste 1,67401,Salina,4
Nick Puckett Business Attorney,,https://www.google.com/maps/place/?q=place_id:ChIJ8fB0hs_FvIcRsl2MPHvHqws,,Salina,KS,Saline,(785) 833-5094,,General,119 W Iron Ave 10th floor,67401,Salina,4
"Norton, Wasserman, Jones & Kelly, LLC",https://nwjklaw.com/?utm_source=GMB&utm_medium=NEXT&utm_campaign=website,https://www.google.com/maps/place/?q=place_id:ChIJLw4WZ_bFvIcR8wIT1UfFGSM,,Salina,KS,Saline,(785) 827-3646,nwjk@nwjklaw.com,"Criminal Defense, Family Law",213 S Santa Fe Ave,67401,Salina,4
Parks Law Office,,,,Salina,KS,Saline,785-392-5133,,General,248 S Santa Fe,67401,Salina,4
Patrick Hoffman LLC,,,,Salina,KS,Saline,785-531-2463,,General,2524 Ridgehill Dr,67401,Salina,4
Patrik Neustrom & Associates,http://www.neustrom.com/,https://www.google.com/maps/place/?q=place_id:ChIJCyGY6PXFvIcRPuCl6tNHQg0,,Salina,KS,Saline,(785) 825-1505,,Workers' Compensation,118 S 7th St,67401,Salina,5
Reynolds Law Office,http://www.salinalaw.com/home.html,https://www.google.com/maps/place/?q=place_id:ChIJc50OP2DPvIcROL6AAmKeSVg,,Salina,KS,Saline,(785) 823-1333,,General,301 N 9th St,67401,Salina,4
Robert A. Thompson,http://www.criminaldefenseattorneysalina.com/,https://www.google.com/maps/place/?q=place_id:ChIJ_d8H5IrFvIcRBlYhAdqdGhw,,Salina,KS,Saline,(785) 827-1300,attorneythompson@ruraltel.net,Criminal Defense,316 N Santa Fe Ave,67401,Salina,5
Robert G. German,http://www.germanlawoffice.com/,https://www.google.com/maps/place/?q=place_id:ChIJqYoh5vXFvIcR157rK2njhZA,,Salina,KS,Saline,(785) 825-9175,,General,219 N Santa Fe Ave,67401,Salina,4
Samantha Angell,http://www.achterbergangelllaw.com,,,Salina,KS,Saline,785-820-9400,,Personal Injury,,67401,Salina,5
"The Adam Law Firm, LLC",https://salinaksattorney.com/,https://www.google.com/maps/place/?q=place_id:ChIJu7d7tx7FvIcRVSeKDOUUVTQ,,Salina,KS,Saline,(785) 669-0077,info@salinaksattorney.com,General,131 N Santa Fe Ave,67401,Salina,4
The Law Office of Micki Buschart,https://www.immigrationlawyerkc.com/immigration-lawyer-in-salina-kansas/,https://www.google.com/maps/place/?q=place_id:ChIJG_j0fnnFvIcRyNsZ0QIcvmM,,Salina,KS,Saline,(785) 783-0099,,Business Law,635 E Crawford St,67401,Salina,2
Wm. Rex Lorson Law Office,,https://www.google.com/maps/place/?q=place_id:ChIJp6YfNvTFvIcRyjHj8pbtVXY,,Salina,KS,Saline,(785) 825-8236,,General,114 E Iron Ave,67401,Salina,4
Wyatt Law Office,,https://www.google.com/maps/place/?q=place_id:ChIJzbHsnVjPvIcRNr77hgWMX1Y,,Salina,KS,Saline,(785) 404-2400,,General,110 S 7th St,67402,Salina,4
